Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Post-Trade Compliance Validation,Re-validates positions and exposures after booking trades to detect breaches due to market movement or allocation effects; triggers remediation.,Post-Trade Rule Set,Rules evaluated on positions/exposures.,Rule ID,Unique identifier (same catalog as pre-trade).
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Post-Trade Compliance Validation,Re-validates positions and exposures after booking trades to detect breaches due to market movement or allocation effects; triggers remediation.,Post-Trade Rule Set,Rules evaluated on positions/exposures.,Evaluation Basis,"Position weights, issuer exposure, sector/country limits."
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Post-Trade Compliance Validation,Re-validates positions and exposures after booking trades to detect breaches due to market movement or allocation effects; triggers remediation.,Breach Monitoring,Detection and workflow for resolution.,Breach Flag,True/False for each rule.
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Post-Trade Compliance Validation,Re-validates positions and exposures after booking trades to detect breaches due to market movement or allocation effects; triggers remediation.,Breach Monitoring,Detection and workflow for resolution.,Remediation Action,"Rebalance, hedge, cancel/adjust, notify."
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Trade Confirmation Processing,Matches broker confirmations with internal trade records to ensure economic terms agree; resolves mismatches via break management.,Confirmation,Broker-provided economic details of trade.,Confirmation ID,Unique broker confirmation reference.
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Trade Confirmation Processing,Matches broker confirmations with internal trade records to ensure economic terms agree; resolves mismatches via break management.,Confirmation,Broker-provided economic details of trade.,Economic Terms,"Quantity, price, side, fees, trade date."
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Trade Confirmation Processing,Matches broker confirmations with internal trade records to ensure economic terms agree; resolves mismatches via break management.,Match/Break Record,Status of trade match vs. confirmation.,Match Status,Matched/Unmatched/Exception.
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Trade Confirmation Processing,Matches broker confirmations with internal trade records to ensure economic terms agree; resolves mismatches via break management.,Match/Break Record,Status of trade match vs. confirmation.,Break Reason,"Price/quantity/misc mismatch, late report."
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Settlement Instruction Processing,"Generates and transmits settlement details (SSIs) to custodians/CPs; monitors settlement status, manages fails and penalties to protect Fund Performance.",Settlement Order,Instruction sent to custodian/CP.,Settlement Date (SD),"Contractual SD (e.g., T+2)."
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Settlement Instruction Processing,"Generates and transmits settlement details (SSIs) to custodians/CPs; monitors settlement status, manages fails and penalties to protect Fund Performance.",Settlement Order,Instruction sent to custodian/CP.,SSI Reference,"Custodian account, BIC, depository codes."
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Settlement Instruction Processing,"Generates and transmits settlement details (SSIs) to custodians/CPs; monitors settlement status, manages fails and penalties to protect Fund Performance.",Settlement Status,Lifecycle tracking of settlement.,Status,Pending/Confirmed/Failed/Partially Settled.
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Settlement Instruction Processing,"Generates and transmits settlement details (SSIs) to custodians/CPs; monitors settlement status, manages fails and penalties to protect Fund Performance.",Settlement Status,Lifecycle tracking of settlement.,Fail Reason/Penalty,"Cause of fail and charges (e.g., CSDR penalties)."
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,TCA Report,Periodic analytics of trading cost metrics.,Benchmark Type,Arrival/VWAP/TWAP/Decision/Closing price.
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,TCA Report,Periodic analytics of trading cost metrics.,Cost Metrics,"Implementation shortfall, slippage, spread, impact."
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,TCA Segment,"Breakdowns by broker, venue, instrument, time.",Segment Dimension,Broker/venue/product/time bucket.
Fund Performance,Trade Execution and Order Management,"The governed front-to-back workflow that takes investment intent from portfolio management to market execution, through pre/post-trade controls, allocation, confirmation, and settlement. Ensures traceability, best execution, regulatory compliance, and accurate capture of trading costs for Fund Performance measurement.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,TCA Segment,"Breakdowns by broker, venue, instrument, time.",Performance vs. Peer/Bench,Comparison statistics to peers or historical.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Daily Portfolio Valuation Review,"Verification of daily portfolio valuations across instruments, ensuring price sources, fair value hierarchy, and corporate actions are correctly applied for accurate NAV and P&L.",Valuation Snapshot,"Point-in-time prices, NAV, and instrument valuations.",Valuation Date,Business date of the snapshot.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Daily Portfolio Valuation Review,"Verification of daily portfolio valuations across instruments, ensuring price sources, fair value hierarchy, and corporate actions are correctly applied for accurate NAV and P&L.",Valuation Snapshot,"Point-in-time prices, NAV, and instrument valuations.",Price Source,"Primary/secondary vendor, exchange, internal model."
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Daily Portfolio Valuation Review,"Verification of daily portfolio valuations across instruments, ensuring price sources, fair value hierarchy, and corporate actions are correctly applied for accurate NAV and P&L.",Valuation Snapshot,"Point-in-time prices, NAV, and instrument valuations.",Fair Value Level,IFRS/GAAP hierarchy (Level 1/2/3).
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Daily Portfolio Valuation Review,"Verification of daily portfolio valuations across instruments, ensuring price sources, fair value hierarchy, and corporate actions are correctly applied for accurate NAV and P&L.",Corporate Action Log,Events affecting valuation and positions.,Action Type,"Dividend, split, coupon, call/put, tender."
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Daily Portfolio Valuation Review,"Verification of daily portfolio valuations across instruments, ensuring price sources, fair value hierarchy, and corporate actions are correctly applied for accurate NAV and P&L.",Corporate Action Log,Events affecting valuation and positions.,Applied Status,Applied/Pending/Exception.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Daily Performance Monitoring,"Measurement of daily returns versus benchmarks, attribution to allocation and selection effects, and tracking error diagnostics to ensure performance fidelity.",Performance Report (Daily),Calculated returns and attribution components.,Portfolio Return (Daily),% change vs. prior day NAV/GAV.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Daily Performance Monitoring,"Measurement of daily returns versus benchmarks, attribution to allocation and selection effects, and tracking error diagnostics to ensure performance fidelity.",Performance Report (Daily),Calculated returns and attribution components.,Benchmark Return (Daily),Reference index daily return.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Daily Performance Monitoring,"Measurement of daily returns versus benchmarks, attribution to allocation and selection effects, and tracking error diagnostics to ensure performance fidelity.",Performance Report (Daily),Calculated returns and attribution components.,Excess Return,Portfolio minus benchmark return.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Daily Performance Monitoring,"Measurement of daily returns versus benchmarks, attribution to allocation and selection effects, and tracking error diagnostics to ensure performance fidelity.",Attribution Block,Decomposition of return.,Allocation Effect,Impact from asset class/sector weights.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Daily Performance Monitoring,"Measurement of daily returns versus benchmarks, attribution to allocation and selection effects, and tracking error diagnostics to ensure performance fidelity.",Attribution Block,Decomposition of return.,Selection Effect,Impact from security picking.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Exposure Monitoring,"Ongoing measurement of exposures across asset classes, sectors, geographies, currencies, duration, and counterparties to maintain diversification and comply with limits.",Exposure Dashboard,Consolidated exposure metrics.,Asset Class Exposure (%),Weight by asset class.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Exposure Monitoring,"Ongoing measurement of exposures across asset classes, sectors, geographies, currencies, duration, and counterparties to maintain diversification and comply with limits.",Exposure Dashboard,Consolidated exposure metrics.,Sector Exposure (%),"Weight by sector (e.g., GICS)."
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Exposure Monitoring,"Ongoing measurement of exposures across asset classes, sectors, geographies, currencies, duration, and counterparties to maintain diversification and comply with limits.",Exposure Dashboard,Consolidated exposure metrics.,Country/Currency Exposure,Geographic/currency weights and nets.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Exposure Monitoring,"Ongoing measurement of exposures across asset classes, sectors, geographies, currencies, duration, and counterparties to maintain diversification and comply with limits.",Counterparty Exposure,OTC exposure by counterparty.,Net Exposure (Counterparty),Net MTM or notional by CP.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Factor Risk Monitoring,"Surveillance of factor exposures (e.g., market beta, size, value, momentum, quality, duration, credit beta) and their contribution to portfolio risk; validates intended tilts vs. risk budget.",Factor Exposure Set,Measured factor loads for the portfolio.,Factor Name,"Market, Size, Value, Momentum, Quality, Duration, Credit."
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Factor Risk Monitoring,"Surveillance of factor exposures (e.g., market beta, size, value, momentum, quality, duration, credit beta) and their contribution to portfolio risk; validates intended tilts vs. risk budget.",Factor Exposure Set,Measured factor loads for the portfolio.,Exposure Level,Numeric load/ß per factor.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Factor Risk Monitoring,"Surveillance of factor exposures (e.g., market beta, size, value, momentum, quality, duration, credit beta) and their contribution to portfolio risk; validates intended tilts vs. risk budget.",Factor Risk Contribution,Decomposition of total risk by factor.,Contribution to Variance,% of total risk from each factor.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Limit Breach Detection,"Automated checks for breaches of regulatory, product, and mandate limits; triggers remediation workflows and governance notifications.",Limit Catalogue,Master list of binding limits and thresholds.,Limit ID,Unique identifier for a limit.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Limit Breach Detection,"Automated checks for breaches of regulatory, product, and mandate limits; triggers remediation workflows and governance notifications.",Limit Catalogue,Master list of binding limits and thresholds.,Limit Definition,"Formal rule (e.g., single issuer = 10%)."
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Limit Breach Detection,"Automated checks for breaches of regulatory, product, and mandate limits; triggers remediation workflows and governance notifications.",Breach Event,Detected breach instance.,Breach Severity,Minor/Moderate/Critical (based on magnitude).
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Limit Breach Detection,"Automated checks for breaches of regulatory, product, and mandate limits; triggers remediation workflows and governance notifications.",Breach Event,Detected breach instance.,Time to Remediation,SLA target for resolution.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Drawdown Monitoring,Tracking of peak-to-trough declines over rolling windows to manage downside risk and trigger protective actions per policy.,Drawdown Tracker,Time series of running peak and drawdown.,Max Drawdown,Worst peak-to-trough % decline over period.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Drawdown Monitoring,Tracking of peak-to-trough declines over rolling windows to manage downside risk and trigger protective actions per policy.,Drawdown Tracker,Time series of running peak and drawdown.,Drawdown Duration,Time length from peak to recovery.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Drawdown Monitoring,Tracking of peak-to-trough declines over rolling windows to manage downside risk and trigger protective actions per policy.,Threshold Policy,Governance thresholds for action.,Action Threshold (%),"Level that triggers mitigation (e.g., -10%)."
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Volatility Monitoring,"Measurement of realized and ex-ante volatility against targets and budgets; supports risk parity, TE management, and dynamic sizing.",Volatility Metrics,Realized and forecast risk measures.,Realized Volatility (s),"Annualized s over defined window (e.g., 20D/60D)."
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Volatility Monitoring,"Measurement of realized and ex-ante volatility against targets and budgets; supports risk parity, TE management, and dynamic sizing.",Volatility Metrics,Realized and forecast risk measures.,Ex-ante Volatility,Model-based expected s from risk model.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Volatility Monitoring,"Measurement of realized and ex-ante volatility against targets and budgets; supports risk parity, TE management, and dynamic sizing.",Volatility Policy,Target ranges and escalation rules.,Target Volatility Band,"Acceptable range (e.g., 6–8%)."
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Stress & Scenario Monitoring,"Periodic evaluation of portfolio resilience under historical and hypothetical scenarios across rates, spreads, FX, equity factors, and commodities; tracks P&L impact and risk limits.",Scenario Library,Catalog of tests run routinely.,Scenario Name/Type,Historical/Hypothetical/Regulatory.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Stress & Scenario Monitoring,"Periodic evaluation of portfolio resilience under historical and hypothetical scenarios across rates, spreads, FX, equity factors, and commodities; tracks P&L impact and risk limits.",Scenario Library,Catalog of tests run routinely.,Shock Definition,Factor/asset shocks and correlations.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Stress & Scenario Monitoring,"Periodic evaluation of portfolio resilience under historical and hypothetical scenarios across rates, spreads, FX, equity factors, and commodities; tracks P&L impact and risk limits.",Scenario Result,Quantified impact from scenarios.,P&L Impact,Expected loss/gain for scenario.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Stress & Scenario Monitoring,"Periodic evaluation of portfolio resilience under historical and hypothetical scenarios across rates, spreads, FX, equity factors, and commodities; tracks P&L impact and risk limits.",Scenario Result,Quantified impact from scenarios.,Peak Drawdown (Scenario),Max peak-to-trough under scenario.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Risk Mitigation Action Identification,"Determination of hedging, rebalancing, or de-risking actions to address breaches or emerging risks while preserving mandate objectives and liquidity.",Mitigation Playbook,Pre-defined actions mapped to triggers.,Action Type,"Hedge, Reduce Position, Diversify, Liquidity Buffer."
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Risk Mitigation Action Identification,"Determination of hedging, rebalancing, or de-risking actions to address breaches or emerging risks while preserving mandate objectives and liquidity.",Mitigation Playbook,Pre-defined actions mapped to triggers.,Trigger Condition,Metric/threshold that initiates action.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Risk Mitigation Action Identification,"Determination of hedging, rebalancing, or de-risking actions to address breaches or emerging risks while preserving mandate objectives and liquidity.",Action Ticket,Governance record to implement mitigation.,Approval Status,Pending/Approved/Executed.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Risk Mitigation Action Identification,"Determination of hedging, rebalancing, or de-risking actions to address breaches or emerging risks while preserving mandate objectives and liquidity.",Action Ticket,Governance record to implement mitigation.,Expected Impact,"Reduction in risk metrics (e.g., s, TE, VaR)."
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Rebalancing Trigger Identification,"Identification of rebalancing needs due to drift from target weights, factor exposures, liquidity changes, or policy schedules; proposes actions and timing.",Drift Monitor,Calculations of deviation from targets.,Weight Drift (%),Difference vs. target or SAA/TAA.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Trade Intent Generation,"Translates model portfolio decisions and PM views into executable trade intentions at instrument level, with rationale and sizing aligned to mandate and risk budgets.",Drift Monitor,Calculations of deviation from targets.,Factor Drift,Change in factor exposures vs. policy.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Trade Intent Generation,"Translates model portfolio decisions and PM views into executable trade intentions at instrument level, with rationale and sizing aligned to mandate and risk budgets.",Rebalancing Policy,Rules and cadence for rebalancing.,Rebalance Frequency,Scheduled (monthly/quarterly) or threshold-based.
Fund Performance,Portfolio Monitoring and Risk Management,"Continuous oversight of portfolio valuation, performance, exposures, factor risks, and limits to preserve mandate alignment and risk-adjusted returns. Integrates daily controls, breach detection, and mitigation actions with governance workflows.",Trade Intent Generation,"Translates model portfolio decisions and PM views into executable trade intentions at instrument level, with rationale and sizing aligned to mandate and risk budgets.",Rebalancing Policy,Rules and cadence for rebalancing.,Rebalance Threshold,% deviation triggering action.
Fund Performance,"Valuation, Accounting, and NAV Calculation","End-to-end daily cycle that captures and validates prices, determines fair values, accrues income/expenses/fees, processes corporate actions, calculates portfolio valuation and fund NAV, and reconciles accounting records. Ensures accurate, timely, and controlled financial reporting for investor disclosures and performance measurement.",Trade Intent Generation,"Translates model portfolio decisions and PM views into executable trade intentions at instrument level, with rationale and sizing aligned to mandate and risk budgets.",Price Feed,Point-in-time price data per instrument.,Instrument ID,"ISIN, Ticker, CUSIP/SEDOL."
Fund Performance,"Valuation, Accounting, and NAV Calculation","End-to-end daily cycle that captures and validates prices, determines fair values, accrues income/expenses/fees, processes corporate actions, calculates portfolio valuation and fund NAV, and reconciles accounting records. Ensures accurate, timely, and controlled financial reporting for investor disclosures and performance measurement.",Trade Intent Generation,"Translates model portfolio decisions and PM views into executable trade intentions at instrument level, with rationale and sizing aligned to mandate and risk budgets.",Price Feed,Point-in-time price data per instrument.,Price Type,"Close, evaluated, bid/ask mid, modeled."
Fund Performance,"Valuation, Accounting, and NAV Calculation","End-to-end daily cycle that captures and validates prices, determines fair values, accrues income/expenses/fees, processes corporate actions, calculates portfolio valuation and fund NAV, and reconciles accounting records. Ensures accurate, timely, and controlled financial reporting for investor disclosures and performance measurement.",Order Creation & Validation,"Converts trade intent into formal OMS orders; validates instrument data, account, settlement, and static reference data before routing.",Price Feed,Point-in-time price data per instrument.,Price Timestamp,Market close time (exchange local).
Fund Performance,"Valuation, Accounting, and NAV Calculation","End-to-end daily cycle that captures and validates prices, determines fair values, accrues income/expenses/fees, processes corporate actions, calculates portfolio valuation and fund NAV, and reconciles accounting records. Ensures accurate, timely, and controlled financial reporting for investor disclosures and performance measurement.",Order Creation & Validation,"Converts trade intent into formal OMS orders; validates instrument data, account, settlement, and static reference data before routing.",Price Validation Result,Outcome of automated checks and exceptions.,Validation Status,Pass/Fail/Manual Review.
Fund Performance,"Valuation, Accounting, and NAV Calculation","End-to-end daily cycle that captures and validates prices, determines fair values, accrues income/expenses/fees, processes corporate actions, calculates portfolio valuation and fund NAV, and reconciles accounting records. Ensures accurate, timely, and controlled financial reporting for investor disclosures and performance measurement.",Order Creation & Validation,"Converts trade intent into formal OMS orders; validates instrument data, account, settlement, and static reference data before routing.",Price Validation Result,Outcome of automated checks and exceptions.,Variance vs. Prior (%),Deviation from prior valuation.
Fund Performance,"Valuation, Accounting, and NAV Calculation","End-to-end daily cycle that captures and validates prices, determines fair values, accrues income/expenses/fees, processes corporate actions, calculates portfolio valuation and fund NAV, and reconciles accounting records. Ensures accurate, timely, and controlled financial reporting for investor disclosures and performance measurement.",Order Creation & Validation,"Converts trade intent into formal OMS orders; validates instrument data, account, settlement, and static reference data before routing.",Price Validation Result,Outcome of automated checks and exceptions.,Source Consistency Flag,Cross-vendor consistency indicator.
Fund Performance,"Valuation, Accounting, and NAV Calculation","End-to-end daily cycle that captures and validates prices, determines fair values, accrues income/expenses/fees, processes corporate actions, calculates portfolio valuation and fund NAV, and reconciles accounting records. Ensures accurate, timely, and controlled financial reporting for investor disclosures and performance measurement.",Order Creation & Validation,"Converts trade intent into formal OMS orders; validates instrument data, account, settlement, and static reference data before routing.",Fair Value Model,Methodology and inputs used for non-observable pricing.,Model Type,"Discounted cash flow, matrix pricing, broker quotes, option model."
